Identifier,Site,Land_Use,Plot_Name,Subplot,Horizon,Soil_Moisture,Horizon_Depth,Bulk_Density,Soil_pH,total_C,total_N,Inorganic_P,C:N,C:P
MS183,Maliau Basin Conservation Area,Unlogged Forest,Seraya,18,Organic,41.05,3.2,0.24,5.2,4.16,0.32,17.67,13.2,0.24
MS184,Maliau Basin Conservation Area,Unlogged Forest,Seraya,18,Organic,23.99,3,0.47,4.8,3.89,0.27,14.32,14.49,0.27
MS185,Maliau Basin Conservation Area,Unlogged Forest,Seraya,18,Organic,27.09,2,0.44,5.04,3.79,0.28,19.75,13.36,0.19
MS251,Maliau Basin Conservation Area,Unlogged Forest,Seraya,25,Organic,23.41,4,0.48,5.02,3.38,0.2,16.8,16.79,0.2
MS252,Maliau Basin Conservation Area,Unlogged Forest,Seraya,25,Organic,21,2.5,0.59,5.1,5.3,0.35,21.07,15.27,0.25
MS253,Maliau Basin Conservation Area,Unlogged Forest,Seraya,25,Organic,19.96,1.5,0.63,4.9,4.52,0.25,12.71,17.75,0.36
MS254,Maliau Basin Conservation Area,Unlogged Forest,Seraya,25,Organic,19.66,5.5,0.56,5.42,4.26,0.27,15.14,16.03,0.28
MS255,Maliau Basin Conservation Area,Unlogged Forest,Seraya,25,Organic,29.63,2.5,0.34,5.34,3.99,0.31,16.26,12.82,0.25
DV161,Danum Valley Conservation Area,Unlogged Forest,DV1,6,Organic,21.98,1,0.93,6.79,4.22,0.32,7.31,13.32,0.58
DV162,Danum Valley Conservation Area,Unlogged Forest,DV1,6,Organic,18.96,2.5,0.55,6.87,3.9,0.34,6.35,11.36,0.61
DV163,Danum Valley Conservation Area,Unlogged Forest,DV1,6,Organic,26.52,3,0.45,6.81,5.63,0.48,9.21,11.73,0.61
DV164,Danum Valley Conservation Area,Unlogged Forest,DV1,6,Organic,26.26,4,0.42,7.08,7.39,0.57,13.35,12.97,0.55
DV165,Danum Valley Conservation Area,Unlogged Forest,DV1,6,Organic,28.53,4,0.52,7.03,4.47,0.33,6.19,13.71,0.72
DV171,Danum Valley Conservation Area,Unlogged Forest,DV1,7,Organic,23.7,2.5,0.48,6.8,5.7,0.45,7.33,12.79,0.78
DV172,Danum Valley Conservation Area,Unlogged Forest,DV1,7,Organic,33.11,3,0.5,7,4.07,0.31,5.77,13.03,0.71
DV173,Danum Valley Conservation Area,Unlogged Forest,DV1,7,Organic,23.27,5.5,0.68,6.65,5.22,0.4,7.2,13.2,0.72
DV174,Danum Valley Conservation Area,Unlogged Forest,DV1,7,Organic,22.36,3.5,0.56,7.15,4.75,0.34,8.1,13.97,0.59
DV175,Danum Valley Conservation Area,Unlogged Forest,DV1,7,Organic,23.66,4,0.6,6.88,5.55,0.39,6.34,14.28,0.88
DV191,Danum Valley Conservation Area,Unlogged Forest,DV1,9,Organic,20.15,1.7,0.6,7.06,1.73,0.15,4.02,11.65,0.43
DV192,Danum Valley Conservation Area,Unlogged Forest,DV1,9,Organic,16.77,3.5,0.9,6.84,4.22,0.24,7.77,17.32,0.54
DV193,Danum Valley Conservation Area,Unlogged Forest,DV1,9,Organic,18.69,3.5,0.78,6.77,1.97,0.17,4.6,11.92,0.43
DV194,Danum Valley Conservation Area,Unlogged Forest,DV1,9,Organic,12.54,2.2,0.98,7.04,3.12,0.26,3.92,11.97,0.8
