ID,path,name,make,model,is_animal,date,time,mega,Marco,Marco_sub
DGFC_49,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/anno_image68.jpg,anno_image68.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:47:49,"Human, prob = 0.999","vehicle, prob =0.7502","warthog, prob =0.3426"
DGFC_50,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/anno_image81.jpg,anno_image81.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:48:16,"Human, prob = 0.998","vehicle, prob =0.6819","monkeybaboon, prob =0.8934"
DGFC_51,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/anno_image72.jpg,anno_image72.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:47:55,"Human, prob = 0.999","Animal, prob =0.9989","warthog, prob =0.5448"
DGFC_52,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/anno_image71.jpg,anno_image71.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:47:54,"Human, prob = 0.999","Animal, prob =0.9992","warthog, prob =0.6948"
DGFC_53,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/anno_image79.jpg,anno_image79.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:48:13,"Human, prob = 0.998","Animal, prob =0.9243","warthog, prob =0.6316"
DGFC_54,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/anno_image70.jpg,anno_image70.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:47:53,"Human, prob = 0.999","Animal, prob =0.9986","warthog, prob =0.5010"
DGFC_55,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/anno_image69.jpg,anno_image69.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:47:50,"Human, prob = 0.999","vehicle, prob =0.8561","bird, prob =0.3042"
DGFC_56,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/anno_image80.jpg,anno_image80.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:48:15,"Human, prob = 0.999","Animal, prob =0.8664","monkeybaboon, prob =0.4759"
DGFC_57,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image34.jpg,image34.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-04-21,13:27:29,"empty, prob =0.000","blank, prob =0.8422","HUMAN, prob =0.4474"
DGFC_58,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image35.jpg,image35.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-04-21,14:13:35,"empty, prob =0.000","blank, prob =0.9664","HUMAN, prob =0.5656"
